Sample Number (4000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperatura ([°C]),Presión ([mBar]),Altura ([m]),Altura_máxima ([m]),Apogeo (On/Off),Main_parachute (On/Off),Acelerometro_X ([m/s2]),Acelerometro_Y ([m/s2]),Acelerometro_Z ([m/s2]),Media_cuadrática (N/A),Giroscopio_X ([°/s]),Giroscopio_Y ([°/s]),Giroscopio_Z ([°/s]),Magnetómetro_X ([uT]),Magnetómetro_Y ([uT]),Magnetómetro_Z ([uT])
69,1664296449462,25.69,902.73,0.55,0.83,0.0,0.0,1.54,-0.52,9.63,9.77,0.0,0.0,0.0,0.0,0.0,0.0
70,1664296449716,25.7,902.72,0.64,0.83,0.0,0.0,1.54,-0.52,9.62,9.76,0.13,0.06,-0.06,0.13,0.0,0.0
71,1664296449991,25.7,902.73,0.55,0.83,0.0,0.0,1.53,-0.51,9.65,9.78,-0.13,-0.19,0.13,-0.06,0.0,0.13
72,1664296450288,25.7,902.73,0.55,0.83,0.0,0.0,1.53,-0.51,9.61,9.74,-0.06,-0.25,0.06,-0.06,-0.25,0.06
73,1664296450543,25.69,902.74,0.45,0.83,0.0,0.0,1.53,-0.51,9.63,9.76,0.0,-0.13,0.0,0.0,-0.13,0.0
74,1664296450794,25.7,902.73,0.55,0.83,0.0,0.0,1.54,-0.49,9.63,9.76,0.0,0.13,-0.06,0.0,0.13,-0.06
75,1664296451052,25.7,902.72,0.64,0.83,0.0,0.0,1.54,-0.51,9.63,9.77,-0.06,-0.19,0.13,-0.06,-0.19,0.13
76,1664296451302,25.7,902.74,0.45,0.83,0.0,0.0,1.53,-0.52,9.66,9.79,0.0,-0.19,0.13,0.0,-0.19,0.13
77,1664296451570,25.7,902.74,0.45,0.83,0.0,0.0,1.55,-0.48,9.63,9.77,0.0,0.25,-0.13,0.0,0.25,-0.13
78,1664296451824,25.71,902.74,0.45,0.83,0.0,0.0,1.54,-0.51,9.62,9.76,0.0,-0.06,0.0,-0.13,0.0,-0.13
79,1664296452079,25.71,902.71,0.73,0.83,0.0,0.0,1.54,-0.51,9.63,9.77,0.06,-0.06,0.13,0.06,-0.06,0.13
80,1664296452340,25.7,902.72,0.64,0.83,0.0,0.0,1.54,-0.52,9.63,9.77,0.0,-0.06,0.0,0.0,-0.06,-0.06
81,1664296452593,25.71,902.71,0.73,0.83,0.0,0.0,1.55,-0.5,9.6,9.74,0.0,0.0,-0.06,0.0,0.06,0.06
82,1664296452864,25.71,902.75,0.36,0.83,0.0,0.0,1.54,-0.52,9.62,9.76,0.06,-0.13,-0.06,0.0,-0.19,-0.13
83,1664296453132,25.71,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.63,9.77,0.06,-0.19,-0.06,0.06,-0.19,-0.06
84,1664296453388,25.71,902.74,0.45,0.83,0.0,0.0,1.54,-0.5,9.63,9.77,0.0,0.0,0.06,-0.06,-0.13,-0.06
85,1664296453644,25.71,902.71,0.73,0.83,0.0,0.0,1.55,-0.5,9.65,9.79,0.0,0.13,0.06,0.0,0.13,0.06
86,1664296453898,25.71,902.71,0.73,0.83,0.0,0.0,1.55,-0.5,9.61,9.75,0.0,0.0,0.0,-0.13,0.13,-0.13
87,1664296454434,25.72,902.75,0.36,0.83,0.0,0.0,1.54,-0.51,9.63,9.77,0.06,-0.06,0.0,0.06,-0.06,0.0
88,1664296454693,25.71,902.72,0.64,0.83,0.0,0.0,1.53,-0.49,9.62,9.75,-0.06,-0.06,0.0,-0.06,-0.06,0.0
89,1664296454951,25.72,902.74,0.45,0.83,0.0,0.0,1.55,-0.53,9.64,9.78,0.06,-0.19,-0.13,0.06,-0.19,-0.13
90,1664296455209,25.72,902.74,0.45,0.83,0.0,0.0,1.54,-0.49,9.63,9.76,-0.06,-0.13,0.06,-0.06,-0.13,0.06
91,1664296455473,25.72,902.74,0.45,0.83,0.0,0.0,1.54,-0.51,9.62,9.76,0.13,0.0,0.0,0.13,0.0,0.0
92,1664296455726,25.72,902.73,0.55,0.83,0.0,0.0,1.54,-0.51,9.62,9.76,-0.06,0.06,0.06,-0.06,0.06,0.06
93,1664296455977,25.73,902.73,0.55,0.83,0.0,0.0,1.56,-0.51,9.62,9.76,0.06,0.13,-0.06,0.06,0.13,-0.06
94,1664296456231,25.73,902.72,0.64,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,0.0,0.0,0.0,0.0,0.0,0.06
95,1664296456489,25.73,902.72,0.64,0.83,0.0,0.0,1.55,-0.52,9.65,9.79,0.06,-0.06,-0.13,0.06,-0.06,-0.13
96,1664296456759,25.73,902.71,0.73,0.83,0.0,0.0,1.54,-0.51,9.6,9.74,-0.06,0.13,-0.06,-0.06,-0.06,0.06
97,1664296457012,25.73,902.72,0.64,0.83,0.0,0.0,1.54,-0.48,9.64,9.77,0.0,-0.13,0.06,0.0,-0.13,0.06
98,1664296457270,25.73,902.73,0.55,0.83,0.0,0.0,1.53,-0.5,9.64,9.77,0.0,0.19,-0.13,0.06,-0.06,-0.06
99,1664296457534,25.73,902.72,0.64,0.83,0.0,0.0,1.54,-0.52,9.64,9.78,0.06,-0.19,0.0,0.06,-0.19,0.0
100,1664296457789,25.73,902.76,0.26,0.83,0.0,0.0,1.53,-0.51,9.63,9.76,-0.06,0.06,0.0,-0.06,-0.06,0.06
101,1664296458060,25.73,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.65,9.78,0.0,-0.06,0.06,0.06,-0.13,-0.06
102,1664296458318,25.73,902.71,0.73,0.83,0.0,0.0,1.54,-0.51,9.65,9.79,-0.06,0.06,-0.06,-0.06,0.06,-0.06
103,1664296458602,25.74,902.74,0.45,0.83,0.0,0.0,1.54,-0.51,9.63,9.77,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
104,1664296458856,25.74,902.71,0.73,0.83,0.0,0.0,1.55,-0.5,9.62,9.76,0.0,0.06,-0.06,0.0,0.06,-0.06
105,1664296459116,25.74,902.71,0.73,0.83,0.0,0.0,1.54,-0.51,9.6,9.74,0.0,-0.06,0.06,0.0,-0.06,0.06
106,1664296459380,25.74,902.72,0.64,0.83,0.0,0.0,1.55,-0.5,9.65,9.79,0.0,0.0,0.0,0.0,0.19,0.06
107,1664296459634,25.74,902.74,0.45,0.83,0.0,0.0,1.55,-0.5,9.62,9.76,0.06,0.0,0.0,0.06,0.0,0.0
108,1664296459887,25.74,902.7,0.83,0.83,0.0,0.0,1.54,-0.53,9.62,9.76,0.06,0.13,0.0,0.06,0.13,0.0
109,1664296460145,25.74,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,0.0,0.13,-0.06,-0.06,0.31,0.06
110,1664296460397,25.75,902.74,0.45,0.83,0.0,0.0,1.53,-0.49,9.6,9.73,0.0,0.06,0.0,0.0,0.06,0.0
111,1664296460668,25.75,902.74,0.45,0.83,0.0,0.0,1.53,-0.51,9.6,9.73,-0.06,0.0,-0.13,-0.06,0.0,-0.13
112,1664296460925,25.75,902.72,0.64,0.83,0.0,0.0,1.54,-0.52,9.63,9.77,0.0,-0.13,-0.19,0.0,0.0,-0.06
113,1664296461186,25.75,902.72,0.64,0.83,0.0,0.0,1.54,-0.48,9.64,9.77,0.0,0.13,-0.06,0.06,-0.19,0.0
114,1664296461443,25.75,902.72,0.64,0.83,0.0,0.0,1.55,-0.48,9.6,9.74,0.06,-0.13,-0.06,0.06,-0.13,-0.06
115,1664296461705,25.75,902.74,0.45,0.83,0.0,0.0,1.54,-0.51,9.59,9.73,0.0,0.0,0.0,0.0,0.0,0.0
116,1664296461974,25.75,902.73,0.55,0.83,0.0,0.0,1.54,-0.52,9.63,9.77,-0.06,-0.06,0.19,-0.06,-0.06,0.19
117,1664296462235,25.75,902.71,0.73,0.83,0.0,0.0,1.54,-0.48,9.65,9.78,-0.13,-0.13,0.13,-0.13,-0.13,0.13
118,1664296462495,25.75,902.72,0.64,0.83,0.0,0.0,1.54,-0.51,9.61,9.75,-0.06,0.06,0.0,-0.06,0.06,0.0
119,1664296462758,25.76,902.74,0.45,0.83,0.0,0.0,1.54,-0.51,9.63,9.77,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
120,1664296463034,25.76,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,-0.13,-0.13,0.06,-0.13,-0.13,0.06
121,1664296463304,25.76,902.74,0.45,0.83,0.0,0.0,1.54,-0.5,9.63,9.77,0.13,-0.06,0.0,0.06,-0.06,0.0
122,1664296463561,25.76,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.6,9.74,0.06,0.06,-0.13,0.06,-0.19,0.13
123,1664296463822,25.76,902.72,0.64,0.83,0.0,0.0,1.53,-0.5,9.63,9.76,0.19,-0.25,0.19,0.19,-0.06,-0.06
124,1664296464076,25.76,902.73,0.55,0.83,0.0,0.0,1.53,-0.51,9.63,9.76,0.0,-0.06,0.06,0.0,-0.06,0.06
125,1664296464336,25.76,902.7,0.83,0.83,0.0,0.0,1.54,-0.51,9.64,9.78,-0.06,0.06,0.06,-0.06,0.06,0.06
126,1664296464620,25.77,902.71,0.73,0.83,0.0,0.0,1.54,-0.48,9.63,9.76,-0.19,0.06,-0.06,0.0,0.06,0.0
127,1664296464876,25.77,902.72,0.64,0.83,0.0,0.0,1.55,-0.52,9.64,9.78,0.06,0.13,-0.06,0.06,0.13,-0.06
128,1664296465130,25.77,902.72,0.64,0.83,0.0,0.0,1.55,-0.51,9.63,9.77,0.0,0.06,0.13,0.06,-0.06,0.13
129,1664296465384,25.77,902.74,0.45,0.83,0.0,0.0,1.54,-0.52,9.63,9.77,-0.06,0.06,0.19,-0.06,0.06,0.19
130,1664296465641,25.77,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.66,9.79,0.0,0.19,0.06,0.0,0.19,0.06
131,1664296465921,25.77,902.71,0.73,0.83,0.0,0.0,1.54,-0.5,9.67,9.8,0.06,0.13,-0.13,0.06,0.13,-0.13
132,1664296466175,25.77,902.71,0.73,0.83,0.0,0.0,1.54,-0.49,9.63,9.76,0.06,0.13,0.06,0.06,0.13,0.06
133,1664296466432,25.77,902.72,0.64,0.83,0.0,0.0,1.53,-0.48,9.63,9.76,0.0,-0.06,-0.06,0.0,-0.06,-0.06
134,1664296466688,25.78,902.72,0.64,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,-0.06,0.0,0.0,-0.06,0.0,0.0
135,1664296466949,25.78,902.73,0.55,0.83,0.0,0.0,1.53,-0.52,9.63,9.76,-0.06,-0.06,0.06,-0.06,0.0,-0.13
136,1664296467251,25.78,902.72,0.64,0.83,0.0,0.0,1.55,-0.5,9.62,9.76,0.0,-0.06,0.0,0.0,-0.06,0.0
137,1664296467512,25.78,902.7,0.83,0.83,0.0,0.0,1.55,-0.48,9.63,9.77,-0.06,0.06,0.06,-0.06,0.06,0.06
138,1664296467765,25.78,902.71,0.73,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,0.06,0.0,0.0,-0.13,0.0,0.06
139,1664296468021,25.78,902.72,0.64,0.83,0.0,0.0,1.54,-0.51,9.62,9.76,0.06,0.0,-0.06,0.06,0.0,-0.06
140,1664296468283,25.78,902.74,0.45,0.83,0.0,0.0,1.53,-0.49,9.61,9.74,-0.06,-0.13,0.06,0.0,0.0,-0.06
141,1664296468551,25.79,902.71,0.73,0.83,0.0,0.0,1.56,-0.52,9.65,9.79,0.06,0.06,-0.06,0.06,0.06,-0.06
142,1664296468806,25.78,902.75,0.36,0.83,0.0,0.0,1.53,-0.49,9.62,9.75,-0.06,0.06,0.06,0.06,0.13,0.0
143,1664296469057,25.79,902.73,0.55,0.83,0.0,0.0,1.54,-0.51,9.65,9.79,0.06,0.0,0.06,0.06,0.0,0.06
144,1664296469311,25.79,902.75,0.36,0.83,0.0,0.0,1.54,-0.5,9.61,9.75,0.0,0.06,0.0,0.0,0.06,0.0
145,1664296469569,25.79,902.72,0.64,0.83,0.0,0.0,1.54,-0.51,9.62,9.76,-0.13,0.13,0.06,-0.13,0.13,0.06
146,1664296469871,25.79,902.7,0.83,0.83,0.0,0.0,1.53,-0.52,9.58,9.72,0.06,0.13,-0.06,0.06,0.13,-0.06
147,1664296470122,25.79,902.73,0.55,0.83,0.0,0.0,1.54,-0.51,9.64,9.78,0.0,0.0,0.0,0.0,0.0,0.0
148,1664296470392,25.79,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,-0.06,0.19,-0.19,-0.06,0.19,-0.19
149,1664296470650,25.79,902.71,0.73,0.83,0.0,0.0,1.55,-0.51,9.62,9.76,0.13,0.13,-0.06,0.13,0.13,-0.06
150,1664296470909,25.8,902.73,0.55,0.83,0.0,0.0,1.53,-0.5,9.64,9.77,0.0,-0.06,-0.06,0.0,-0.06,-0.06
151,1664296471172,25.8,902.72,0.64,0.83,0.0,0.0,1.54,-0.51,9.63,9.77,0.0,0.06,0.0,0.06,-0.06,0.0
152,1664296471433,25.8,902.73,0.55,0.83,0.0,0.0,1.53,-0.48,9.62,9.75,-0.13,0.0,0.0,-0.13,0.0,0.0
153,1664296471706,25.8,902.69,0.92,0.92,0.0,0.0,1.54,-0.52,9.61,9.75,0.0,0.13,-0.06,0.0,0.13,-0.06
154,1664296471967,25.8,902.71,0.73,0.92,0.0,0.0,1.53,-0.49,9.64,9.77,0.06,0.19,-0.06,0.06,0.19,-0.06
155,1664296472224,25.8,902.72,0.64,0.92,0.0,0.0,1.53,-0.52,9.62,9.75,-0.13,-0.06,0.0,-0.13,-0.06,0.0
156,1664296472497,25.81,902.71,0.73,0.92,0.0,0.0,1.55,-0.5,9.62,9.76,-0.06,0.06,0.13,-0.06,0.06,0.13
157,1664296472748,25.8,902.71,0.73,0.92,0.0,0.0,1.54,-0.5,9.64,9.78,0.0,0.06,0.0,0.0,0.06,0.0
158,1664296472999,25.81,902.73,0.55,0.92,0.0,0.0,1.55,-0.49,9.61,9.75,0.0,0.06,0.0,0.0,0.06,0.0
159,1664296473252,25.81,902.73,0.55,0.92,0.0,0.0,1.54,-0.52,9.64,9.78,0.0,0.19,0.0,0.0,0.19,0.0
160,1664296473509,25.81,902.71,0.73,0.92,0.0,0.0,1.54,-0.51,9.62,9.76,-0.13,-0.06,0.13,-0.13,-0.06,0.13
161,1664296473781,25.81,902.72,0.64,0.92,0.0,0.0,1.54,-0.5,9.64,9.78,-0.06,-0.06,0.13,-0.06,-0.06,0.13
162,1664296474044,25.81,902.71,0.73,0.92,0.0,0.0,1.55,-0.51,9.64,9.78,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
163,1664296474292,25.81,902.69,0.92,0.92,0.0,0.0,1.54,-0.5,9.63,9.77,0.06,0.06,0.06,0.06,0.06,0.06
164,1664296474560,25.82,902.7,0.83,0.92,0.0,0.0,1.54,-0.5,9.61,9.75,0.0,0.19,-0.06,0.0,0.19,-0.06
165,1664296474812,25.82,902.72,0.64,0.92,0.0,0.0,1.54,-0.51,9.63,9.77,0.06,0.13,0.0,0.06,0.13,0.0
166,1664296475082,25.82,902.75,0.36,0.92,0.0,0.0,1.55,-0.49,9.62,9.76,-0.06,0.19,-0.06,-0.06,0.19,-0.06
167,1664296475342,25.82,902.73,0.55,0.92,0.0,0.0,1.54,-0.49,9.62,9.75,-0.13,-0.13,-0.06,-0.13,-0.13,-0.06
168,1664296475593,25.82,902.74,0.45,0.92,0.0,0.0,1.54,-0.5,9.64,9.78,0.0,0.13,0.06,0.0,0.13,0.06
169,1664296475866,25.82,902.7,0.83,0.92,0.0,0.0,1.53,-0.49,9.63,9.76,0.06,0.13,-0.06,0.06,0.13,-0.06
170,1664296476126,25.82,902.72,0.64,0.92,0.0,0.0,1.53,-0.5,9.63,9.76,0.0,-0.06,-0.06,0.06,-0.06,0.06
171,1664296476398,25.83,902.72,0.64,0.92,0.0,0.0,1.52,-0.49,9.62,9.75,0.0,0.06,-0.06,0.0,0.06,-0.06
172,1664296476657,25.83,902.73,0.55,0.92,0.0,0.0,1.54,-0.48,9.63,9.76,0.0,0.19,-0.06,0.0,0.19,-0.06
173,1664296476909,25.83,902.71,0.73,0.92,0.0,0.0,1.54,-0.5,9.61,9.75,0.06,0.0,0.13,0.06,0.0,0.13
174,1664296477168,25.83,902.72,0.64,0.92,0.0,0.0,1.53,-0.5,9.64,9.77,-0.13,-0.13,0.0,-0.13,-0.13,0.0
175,1664296477425,25.83,902.73,0.55,0.92,0.0,0.0,1.55,-0.49,9.63,9.77,0.0,0.0,-0.06,0.0,0.0,-0.06
176,1664296477690,25.83,902.72,0.64,0.92,0.0,0.0,1.54,-0.51,9.61,9.75,0.13,0.0,0.06,0.13,0.0,0.06
177,1664296477949,25.84,902.72,0.64,0.92,0.0,0.0,1.53,-0.49,9.64,9.77,-0.13,0.06,-0.06,-0.13,0.06,-0.06
178,1664296478211,25.83,902.74,0.45,0.92,0.0,0.0,1.54,-0.49,9.64,9.77,-0.13,-0.06,-0.13,-0.13,-0.06,-0.13
