Sample Number (4000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperatura ([°C]),Presión ([mBar]),Altura ([m]),Altura_máxima ([m]),Apogeo (On/Off),Main_parachute (On/Off),Acelerometro_X ([m/s2]),Acelerometro_Y ([m/s2]),Acelerometro_Z ([m/s2]),Media_cuadrática (N/A),Giroscopio_X ([°/s]),Giroscopio_Y ([°/s]),Giroscopio_Z ([°/s]),Magnetómetro_X ([uT]),Magnetómetro_Y ([uT]),Magnetómetro_Z ([uT])
0,1664296095101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1664296431414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1664296431775,25.66,902.73,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1664296432028,25.66,902.72,0.64,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1664296432431,25.67,902.75,0.36,0.64,0.0,0.0,1.51,-0.48,9.48,9.61,0.06,0.06,0.13,0.13,0.06,0.06
5,1664296432690,25.65,902.71,0.73,0.73,0.0,0.0,1.51,-0.5,9.43,9.56,-0.06,-0.13,0.06,-0.06,-0.13,0.06
6,1664296432957,25.66,902.74,0.45,0.73,0.0,0.0,1.54,-0.53,9.63,9.77,-0.13,0.13,0.0,-0.06,0.19,0.06
7,1664296433219,25.66,902.73,0.55,0.73,0.0,0.0,1.53,-0.51,9.63,9.76,0.13,0.0,0.0,0.13,0.0,0.0
8,1664296433471,25.66,902.72,0.64,0.73,0.0,0.0,1.54,-0.49,9.62,9.75,0.06,0.06,-0.06,0.0,-0.19,0.06
9,1664296433723,25.66,902.75,0.36,0.73,0.0,0.0,1.54,-0.51,9.63,9.77,0.13,0.06,0.0,0.13,-0.06,0.0
10,1664296433980,25.66,902.75,0.36,0.73,0.0,0.0,1.54,-0.5,9.64,9.78,-0.06,-0.06,0.13,-0.06,-0.06,0.13
11,1664296434238,25.66,902.71,0.73,0.73,0.0,0.0,1.53,-0.51,9.66,9.79,0.06,-0.06,0.0,-0.06,-0.06,-0.06
12,1664296434505,25.66,902.74,0.45,0.73,0.0,0.0,1.54,-0.5,9.63,9.77,-0.06,0.06,0.0,-0.06,0.06,0.0
13,1664296435007,25.65,902.74,0.45,0.73,0.0,0.0,1.55,-0.52,9.64,9.78,0.0,0.06,0.0,0.0,0.06,0.0
14,1664296435263,25.65,902.76,0.26,0.73,0.0,0.0,1.54,-0.52,9.64,9.78,-0.06,0.0,0.0,-0.06,0.0,0.0
15,1664296435515,25.65,902.72,0.64,0.73,0.0,0.0,1.55,-0.52,9.63,9.77,0.0,-0.06,0.06,0.0,-0.06,0.06
16,1664296435783,25.66,902.74,0.45,0.73,0.0,0.0,1.54,-0.51,9.61,9.75,-0.13,0.0,-0.19,-0.13,0.0,-0.19
17,1664296436051,25.65,902.73,0.55,0.73,0.0,0.0,1.53,-0.49,9.63,9.76,0.0,0.13,0.0,0.06,-0.13,0.0
18,1664296436301,25.65,902.72,0.64,0.73,0.0,0.0,1.54,-0.49,9.61,9.74,0.06,0.13,0.13,0.06,0.13,0.13
19,1664296436561,25.65,902.73,0.55,0.73,0.0,0.0,1.54,-0.51,9.62,9.76,0.0,-0.06,-0.06,0.0,-0.06,-0.06
20,1664296436814,25.65,902.75,0.36,0.73,0.0,0.0,1.55,-0.5,9.62,9.76,0.06,0.25,-0.06,0.0,0.19,0.06
21,1664296437100,25.65,902.74,0.45,0.73,0.0,0.0,1.55,-0.5,9.66,9.8,0.06,-0.06,-0.06,0.06,-0.06,-0.06
22,1664296437351,25.65,902.73,0.55,0.73,0.0,0.0,1.54,-0.49,9.61,9.74,0.0,0.0,0.06,0.0,-0.19,0.06
23,1664296437605,25.65,902.73,0.55,0.73,0.0,0.0,1.54,-0.5,9.63,9.77,0.0,0.0,-0.06,0.0,0.0,-0.06
24,1664296437857,25.65,902.74,0.45,0.73,0.0,0.0,1.54,-0.5,9.6,9.74,0.06,-0.37,0.06,0.06,-0.37,0.06
25,1664296438109,25.65,902.72,0.64,0.73,0.0,0.0,1.54,-0.5,9.62,9.76,0.0,-0.13,0.0,0.0,-0.13,0.0
26,1664296438372,25.66,902.72,0.64,0.73,0.0,0.0,1.54,-0.51,9.63,9.77,0.06,0.19,0.0,0.06,0.19,0.0
27,1664296438632,25.65,902.74,0.45,0.73,0.0,0.0,1.55,-0.51,9.63,9.77,0.0,-0.13,-0.06,0.13,0.06,-0.06
28,1664296438883,25.66,902.73,0.55,0.73,0.0,0.0,1.55,-0.51,9.62,9.76,0.0,-0.06,0.13,0.0,-0.06,0.13
29,1664296439138,25.66,902.74,0.45,0.73,0.0,0.0,1.54,-0.49,9.65,9.78,0.13,-0.06,0.06,-0.06,0.06,0.06
30,1664296439391,25.66,902.74,0.45,0.73,0.0,0.0,1.54,-0.51,9.62,9.76,0.0,0.06,0.19,0.0,0.06,0.19
31,1664296439652,25.66,902.75,0.36,0.73,0.0,0.0,1.54,-0.5,9.62,9.76,0.19,0.19,0.0,0.19,0.19,0.0
32,1664296439905,25.66,902.72,0.64,0.73,0.0,0.0,1.54,-0.52,9.61,9.75,0.13,0.06,0.06,0.13,0.06,0.06
33,1664296440158,25.66,902.74,0.45,0.73,0.0,0.0,1.55,-0.52,9.62,9.76,0.0,0.06,-0.06,0.06,-0.06,0.0
34,1664296440425,25.66,902.74,0.45,0.73,0.0,0.0,1.53,-0.5,9.6,9.73,-0.06,0.06,0.0,-0.06,0.06,0.0
35,1664296440677,25.66,902.73,0.55,0.73,0.0,0.0,1.54,-0.52,9.61,9.75,0.0,0.13,0.06,0.0,0.13,0.06
36,1664296440948,25.66,902.73,0.55,0.73,0.0,0.0,1.55,-0.5,9.63,9.77,-0.06,0.06,-0.06,-0.06,0.06,-0.06
37,1664296441201,25.66,902.7,0.83,0.83,0.0,0.0,1.55,-0.51,9.6,9.74,-0.06,0.06,0.0,0.0,0.0,-0.13
38,1664296441467,25.66,902.72,0.64,0.83,0.0,0.0,1.53,-0.5,9.61,9.74,0.0,-0.13,0.0,0.13,-0.13,0.0
39,1664296441720,25.66,902.73,0.55,0.83,0.0,0.0,1.54,-0.49,9.63,9.76,0.0,-0.13,0.0,0.13,-0.19,0.0
40,1664296441982,25.66,902.7,0.83,0.83,0.0,0.0,1.55,-0.5,9.63,9.77,-0.06,0.06,-0.13,-0.06,0.06,-0.13
41,1664296442245,25.67,902.73,0.55,0.83,0.0,0.0,1.55,-0.49,9.63,9.77,0.0,0.0,-0.06,0.06,-0.19,0.0
42,1664296442498,25.67,902.73,0.55,0.83,0.0,0.0,1.55,-0.52,9.61,9.75,0.0,0.0,-0.06,0.0,0.0,-0.06
43,1664296442751,25.67,902.72,0.64,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,-0.13,0.0,0.06,-0.13,0.0,0.06
44,1664296443006,25.67,902.73,0.55,0.83,0.0,0.0,1.55,-0.5,9.63,9.77,0.06,-0.06,-0.06,0.06,-0.06,-0.06
45,1664296443259,25.67,902.74,0.45,0.83,0.0,0.0,1.55,-0.51,9.65,9.79,0.0,0.0,0.06,0.0,0.0,0.06
46,1664296443529,25.67,902.73,0.55,0.83,0.0,0.0,1.54,-0.49,9.63,9.76,0.13,-0.06,-0.19,0.13,-0.06,-0.19
47,1664296443781,25.67,902.73,0.55,0.83,0.0,0.0,1.54,-0.53,9.64,9.78,0.0,0.0,-0.06,0.0,0.0,-0.06
48,1664296444039,25.67,902.74,0.45,0.83,0.0,0.0,1.55,-0.5,9.62,9.76,-0.25,0.13,-0.06,-0.25,0.13,-0.06
49,1664296444296,25.67,902.73,0.55,0.83,0.0,0.0,1.55,-0.51,9.63,9.77,-0.06,-0.13,0.06,-0.06,-0.13,0.06
50,1664296444566,25.67,902.74,0.45,0.83,0.0,0.0,1.56,-0.5,9.62,9.76,-0.13,-0.06,-0.06,0.06,-0.06,0.06
51,1664296444831,25.67,902.72,0.64,0.83,0.0,0.0,1.54,-0.49,9.63,9.76,-0.06,0.06,0.0,-0.06,0.25,0.0
52,1664296445089,25.68,902.74,0.45,0.83,0.0,0.0,1.54,-0.5,9.64,9.78,-0.06,-0.19,-0.19,-0.06,-0.19,-0.19
53,1664296445340,25.68,902.73,0.55,0.83,0.0,0.0,1.54,-0.5,9.62,9.76,0.0,-0.13,0.06,-0.06,0.0,0.06
54,1664296445611,25.68,902.73,0.55,0.83,0.0,0.0,1.55,-0.5,9.64,9.78,-0.13,0.06,0.06,-0.13,0.06,0.06
55,1664296445863,25.68,902.74,0.45,0.83,0.0,0.0,1.54,-0.51,9.6,9.74,0.0,0.0,0.06,0.0,0.0,0.06
56,1664296446125,25.68,902.74,0.45,0.83,0.0,0.0,1.56,-0.52,9.62,9.76,-0.06,0.0,0.0,-0.06,0.0,0.0
57,1664296446382,25.68,902.73,0.55,0.83,0.0,0.0,1.53,-0.52,9.62,9.75,0.06,0.06,-0.06,0.0,-0.19,0.0
58,1664296446638,25.68,902.75,0.36,0.83,0.0,0.0,1.54,-0.49,9.61,9.74,-0.06,0.06,-0.13,-0.06,0.06,-0.13
59,1664296446892,25.68,902.73,0.55,0.83,0.0,0.0,1.55,-0.49,9.61,9.75,0.06,0.06,0.06,0.06,0.0,0.06
60,1664296447150,25.68,902.72,0.64,0.83,0.0,0.0,1.54,-0.5,9.61,9.75,-0.06,0.13,-0.06,-0.06,0.13,-0.06
61,1664296447419,25.69,902.74,0.45,0.83,0.0,0.0,1.54,-0.5,9.66,9.79,0.0,-0.06,-0.06,0.06,-0.13,0.06
62,1664296447674,25.68,902.72,0.64,0.83,0.0,0.0,1.54,-0.51,9.59,9.73,0.0,0.13,-0.13,0.0,0.06,0.0
63,1664296447926,25.69,902.72,0.64,0.83,0.0,0.0,1.54,-0.5,9.61,9.75,0.06,0.13,0.0,0.06,0.13,0.0
64,1664296448181,25.69,902.73,0.55,0.83,0.0,0.0,1.55,-0.51,9.64,9.78,-0.06,0.0,0.06,-0.06,0.0,0.06
65,1664296448439,25.69,902.73,0.55,0.83,0.0,0.0,1.54,-0.52,9.63,9.77,-0.13,0.13,-0.13,-0.13,0.13,-0.13
66,1664296448694,25.69,902.72,0.64,0.83,0.0,0.0,1.53,-0.5,9.64,9.77,-0.13,-0.06,0.06,-0.13,-0.06,0.06
67,1664296448957,25.69,902.72,0.64,0.83,0.0,0.0,1.53,-0.5,9.63,9.76,-0.13,0.19,-0.06,-0.13,0.19,-0.06
68,1664296449211,25.69,902.73,0.55,0.83,0.0,0.0,1.54,-0.52,9.64,9.78,0.06,0.13,-0.13,0.06,0.13,-0.13
