{0,0,0,18,25.66,902.73,0.55,0.55,1.64,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00}
{1,18,18148,18,25.66,902.72,0.64,0.64,1.76,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00}
{2,18,354,18,25.67,902.75,0.36,0.64,1.87,0,0,1.51,-0.48,9.48,9.61,0.06,0.06,0.13,0.13,0.06,0.06}
{3,18,252,19,25.65,902.71,0.73,0.73,1.84,0,0,1.51,-0.50,9.43,9.56,-0.06,-0.13,0.06,-0.06,-0.13,0.06}
{4,19,403,19,25.66,902.74,0.45,0.73,1.78,0,0,1.54,-0.53,9.63,9.77,-0.13,0.13,0.00,-0.06,0.19,0.06}
{5,19,258,19,25.66,902.73,0.55,0.73,1.84,0,0,1.53,-0.51,9.63,9.76,0.13,0.00,0.00,0.13,0.00,0.00}
{6,19,270,19,25.66,902.72,0.64,0.73,1.81,0,0,1.54,-0.49,9.62,9.75,0.06,0.06,-0.06,0.00,-0.19,0.06}
{7,19,260,20,25.66,902.75,0.36,0.73,1.78,0,0,1.54,-0.51,9.63,9.77,0.13,0.06,0.00,0.13,-0.06,0.00}
{8,20,254,20,25.66,902.75,0.36,0.73,1.72,0,0,1.54,-0.50,9.64,9.78,-0.06,-0.06,0.13,-0.06,-0.06,0.13}
{9,20,252,20,25.66,902.71,0.73,0.73,1.75,0,0,1.53,-0.51,9.66,9.79,0.06,-0.06,0.00,-0.06,-0.06,-0.06}
{10,20,259,20,25.66,902.74,0.45,0.73,1.78,0,0,1.54,-0.50,9.63,9.77,-0.06,0.06,0.00,-0.06,0.06,0.00}
{11,20,257,21,25.65,902.73,0.55,0.73,1.84,0,0,1.55,-0.50,9.65,9.79,0.00,0.00,0.00,0.00,0.00,0.00}
{12,21,266,21,25.65,902.74,0.45,0.73,1.75,0,0,1.55,-0.52,9.64,9.78,0.00,0.06,0.00,0.00,0.06,0.00}
{13,21,252,21,25.65,902.76,0.26,0.73,1.69,0,0,1.54,-0.52,9.64,9.78,-0.06,0.00,0.00,-0.06,0.00,0.00}
{14,21,252,21,25.65,902.72,0.64,0.73,1.72,0,0,1.55,-0.52,9.63,9.77,0.00,-0.06,0.06,0.00,-0.06,0.06}
{15,21,252,22,25.66,902.74,0.45,0.73,1.72,0,0,1.54,-0.51,9.61,9.75,-0.13,0.00,-0.19,-0.13,0.00,-0.19}
{16,22,253,22,25.65,902.73,0.55,0.73,1.81,0,0,1.53,-0.49,9.63,9.76,0.00,0.13,0.00,0.06,-0.13,0.00}
{17,22,269,22,25.65,902.72,0.64,0.73,1.81,0,0,1.54,-0.49,9.61,9.74,0.06,0.13,0.13,0.06,0.13,0.13}
{18,22,264,23,25.65,902.73,0.55,0.73,1.84,0,0,1.54,-0.51,9.62,9.76,0.00,-0.06,-0.06,0.00,-0.06,-0.06}
{19,23,253,23,25.65,902.75,0.36,0.73,1.78,0,0,1.55,-0.50,9.62,9.76,0.06,0.25,-0.06,0.00,0.19,0.06}
{20,23,258,23,25.65,902.74,0.45,0.73,1.72,0,0,1.55,-0.50,9.66,9.80,0.06,-0.06,-0.06,0.06,-0.06,-0.06}
{21,23,253,23,25.65,902.73,0.55,0.73,1.72,0,0,1.54,-0.49,9.61,9.74,0.00,0.00,0.06,0.00,-0.19,0.06}
{22,23,285,24,25.65,902.73,0.55,0.73,1.78,0,0,1.54,-0.50,9.63,9.77,0.00,0.00,-0.06,0.00,0.00,-0.06}
{23,24,254,24,25.65,902.74,0.45,0.73,1.78,0,0,1.54,-0.50,9.60,9.74,0.06,-0.37,0.06,0.06,-0.37,0.06}
{24,24,253,24,25.65,902.72,0.64,0.73,1.81,0,0,1.54,-0.50,9.62,9.76,0.00,-0.13,0.00,0.00,-0.13,0.00}
{25,24,252,24,25.66,902.72,0.64,0.73,1.84,0,0,1.54,-0.51,9.63,9.77,0.06,0.19,0.00,0.06,0.19,0.00}
{26,24,252,25,25.65,902.74,0.45,0.73,1.84,0,0,1.55,-0.51,9.63,9.77,0.00,-0.13,-0.06,0.13,0.06,-0.06}
{27,25,264,25,25.66,902.73,0.55,0.73,1.81,0,0,1.55,-0.51,9.62,9.76,0.00,-0.06,0.13,0.00,-0.06,0.13}
{28,25,257,25,25.66,902.74,0.45,0.73,1.75,0,0,1.54,-0.49,9.65,9.78,0.13,-0.06,0.06,-0.06,0.06,0.06}
{29,25,254,25,25.66,902.74,0.45,0.73,1.75,0,0,1.54,-0.51,9.62,9.76,0.00,0.06,0.19,0.00,0.06,0.19}
{30,25,253,26,25.66,902.75,0.36,0.73,1.69,0,0,1.54,-0.50,9.62,9.76,0.19,0.19,0.00,0.19,0.19,0.00}
{31,26,253,26,25.66,902.72,0.64,0.73,1.75,0,0,1.54,-0.52,9.61,9.75,0.13,0.06,0.06,0.13,0.06,0.06}
{32,26,263,26,25.66,902.74,0.45,0.73,1.75,0,0,1.55,-0.52,9.62,9.76,0.00,0.06,-0.06,0.06,-0.06,0.00}
{33,26,253,26,25.66,902.74,0.45,0.73,1.78,0,0,1.53,-0.50,9.60,9.73,-0.06,0.06,0.00,-0.06,0.06,0.00}
{34,26,253,27,25.66,902.73,0.55,0.73,1.75,0,0,1.54,-0.52,9.61,9.75,0.00,0.13,0.06,0.00,0.13,0.06}
{35,27,265,27,25.66,902.73,0.55,0.73,1.78,0,0,1.55,-0.50,9.63,9.77,-0.06,0.06,-0.06,-0.06,0.06,-0.06}
{36,27,252,27,25.66,902.70,0.83,0.83,1.81,0,0,1.55,-0.51,9.60,9.74,-0.06,0.06,0.00,0.00,0.00,-0.13}
{37,27,270,27,25.66,902.72,0.64,0.83,1.84,0,0,1.53,-0.50,9.61,9.74,0.00,-0.13,0.00,0.13,-0.13,0.00}
{38,27,254,28,25.66,902.73,0.55,0.83,1.84,0,0,1.54,-0.49,9.63,9.76,0.00,-0.13,0.00,0.13,-0.19,0.00}
{39,28,268,28,25.66,902.70,0.83,0.83,1.84,0,0,1.55,-0.50,9.63,9.77,-0.06,0.06,-0.13,-0.06,0.06,-0.13}
{40,28,254,28,25.67,902.73,0.55,0.83,1.81,0,0,1.55,-0.49,9.63,9.77,0.00,0.00,-0.06,0.06,-0.19,0.00}
{41,28,258,28,25.67,902.73,0.55,0.83,1.81,0,0,1.55,-0.52,9.61,9.75,0.00,0.00,-0.06,0.00,0.00,-0.06}
{42,28,265,29,25.67,902.72,0.64,0.83,1.75,0,0,1.54,-0.50,9.62,9.76,-0.13,0.00,0.06,-0.13,0.00,0.06}
{43,29,252,29,25.67,902.73,0.55,0.83,1.75,0,0,1.55,-0.50,9.63,9.77,0.06,-0.06,-0.06,0.06,-0.06,-0.06}
{44,29,252,29,25.67,902.74,0.45,0.83,1.72,0,0,1.55,-0.51,9.65,9.79,0.00,0.00,0.06,0.00,0.00,0.06}
{45,29,258,29,25.67,902.73,0.55,0.83,1.69,0,0,1.54,-0.49,9.63,9.76,0.13,-0.06,-0.19,0.13,-0.06,-0.19}
{46,29,251,30,25.67,902.73,0.55,0.83,1.69,0,0,1.54,-0.53,9.64,9.78,0.00,0.00,-0.06,0.00,0.00,-0.06}
