Sample Number (4000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperatura ([°C]),Presión ([mBar]),Altura ([m]),Altura_máxima ([m]),Apogeo (On/Off),Main_parachute (On/Off),Acelerometro_X ([m/s2]),Acelerometro_Y ([m/s2]),Acelerometro_Z ([m/s2]),Media_cuadrática (N/A),Giroscopio_X ([°/s]),Giroscopio_Y ([°/s]),Giroscopio_Z ([°/s]),Magnetómetro_X ([uT]),Magnetómetro_Y ([uT]),Magnetómetro_Z ([uT])
756,1664298022238,29.83,886.75,145.68,146.34,0.0,0.0,1.4,-0.11,7.24,7.37,-2.06,-3.06,-0.31,2.19,-3.56,0.69
757,1664298022519,29.82,886.76,145.58,146.34,0.0,0.0,0.91,0.89,10.76,10.84,-0.13,0.5,-1.06,-0.13,0.5,-1.06
758,1664298022795,29.82,886.75,145.68,146.34,0.0,0.0,3.31,-0.05,11.25,11.73,0.88,-2.25,0.56,0.88,-2.25,0.56
759,1664298023076,29.81,886.74,145.77,146.34,0.0,0.0,0.63,0.22,8.11,8.14,-5.19,2.62,3.44,3.5,-1.94,-3.44
760,1664298023345,29.81,886.73,145.87,146.34,0.0,0.0,1.92,-0.09,8.8,9.01,0.0,-2.06,1.87,0.0,-2.06,1.87
761,1664298023621,29.8,886.73,145.87,146.34,0.0,0.0,0.47,-1.35,6.39,6.55,-2.31,-5.44,-0.75,-2.31,-5.44,-0.75
762,1664298023899,29.8,886.76,145.58,146.34,0.0,0.0,1.6,-0.64,10.24,10.38,-2.87,3.87,-0.75,-2.87,3.87,-0.75
763,1664298024163,29.79,886.75,145.68,146.34,0.0,0.0,1.22,0.78,8.04,8.17,0.88,5.69,1.0,0.88,5.69,1.0
764,1664298024463,29.79,886.75,145.68,146.34,0.0,0.0,1.74,1.06,11.2,11.38,5.75,1.06,-1.56,-0.37,-1.0,-0.44
765,1664298024743,29.79,886.73,145.87,146.34,0.0,0.0,1.51,-0.62,10.21,10.34,4.31,-1.69,-0.44,-2.62,1.37,0.56
766,1664298025012,29.78,886.72,145.96,146.34,0.0,0.0,0.84,0.06,8.22,8.26,-4.56,1.81,2.19,-4.56,1.81,2.19
767,1664298025281,29.78,886.79,145.3,146.34,0.0,0.0,2.6,-1.12,9.75,10.15,2.56,1.19,0.13,2.56,1.19,0.13
768,1664298025576,29.78,886.8,145.2,146.34,0.0,0.0,1.04,-0.36,8.74,8.81,-2.56,-1.69,0.37,-2.56,-1.69,0.37
769,1664298025863,29.77,886.79,145.3,146.34,0.0,0.0,2.16,-0.37,8.51,8.79,-3.87,0.06,-0.31,0.81,-1.81,2.25
770,1664298026144,29.77,886.76,145.58,146.34,0.0,0.0,2.69,-0.04,11.93,12.23,0.81,1.5,1.0,-0.94,-1.06,0.94
771,1664298026418,29.77,886.74,145.77,146.34,0.0,0.0,2.56,-0.45,11.12,11.42,2.06,1.94,-1.87,2.06,1.94,-1.87
772,1664298026684,29.77,886.76,145.58,146.34,0.0,0.0,1.17,0.33,8.73,8.81,1.75,1.19,0.19,1.75,1.19,0.19
773,1664298026955,29.77,886.75,145.68,146.34,0.0,0.0,0.84,0.13,7.48,7.53,-2.19,3.62,2.81,-2.19,3.62,2.81
774,1664298027226,29.77,886.73,145.87,146.34,0.0,0.0,1.21,-0.26,9.18,9.26,-2.87,-0.88,0.88,-2.87,-0.88,0.88
775,1664298027494,29.77,886.75,145.68,146.34,0.0,0.0,1.55,0.31,10.63,10.75,2.12,0.25,1.56,2.12,0.25,1.56
776,1664298027766,29.77,886.72,145.96,146.34,0.0,0.0,1.57,0.41,11.28,11.4,4.5,-1.0,-1.69,4.5,-1.0,-1.69
777,1664298028048,29.76,886.75,145.68,146.34,0.0,0.0,2.6,-0.35,10.09,10.43,3.44,0.88,1.25,0.25,2.75,-2.06
778,1664298028333,29.76,886.72,145.96,146.34,0.0,0.0,0.92,0.66,9.24,9.31,-2.62,2.12,-1.94,-2.62,2.12,-1.94
779,1664298028611,29.76,886.75,145.68,146.34,0.0,0.0,3.05,-0.6,10.69,11.13,-1.56,-1.56,1.94,-1.56,-1.56,1.94
780,1664298028886,29.76,886.74,145.77,146.34,0.0,0.0,2.36,0.99,9.89,10.22,-3.19,-1.06,1.44,-2.44,1.69,3.25
781,1664298029176,29.75,886.71,146.06,146.34,0.0,0.0,1.24,-0.74,10.08,10.18,-2.44,0.62,-1.44,-2.44,0.62,-1.44
782,1664298029450,29.75,886.75,145.68,146.34,0.0,0.0,2.37,0.15,10.57,10.83,1.56,-0.88,-0.25,1.56,-0.88,-0.25
783,1664298029768,29.75,886.72,145.96,146.34,0.0,0.0,2.39,-0.85,9.68,10.01,-1.75,3.31,-1.94,-1.75,3.31,-1.94
784,1664298030046,29.74,886.75,145.68,146.34,0.0,0.0,1.1,0.39,8.24,8.32,-0.62,1.06,-1.62,-0.62,1.06,-1.62
785,1664298030338,29.75,886.72,145.96,146.34,0.0,0.0,1.23,0.12,7.76,7.86,-2.62,-0.94,0.56,-2.62,-0.94,0.56
786,1664298030614,29.74,886.73,145.87,146.34,0.0,0.0,2.29,0.59,10.4,10.67,-2.31,1.62,2.87,-2.31,1.62,2.87
787,1664298030904,29.75,886.73,145.87,146.34,0.0,0.0,0.43,-0.42,7.31,7.33,2.69,-2.12,-0.37,2.69,-2.12,-0.37
788,1664298031178,29.74,886.76,145.58,146.34,0.0,0.0,0.1,0.71,7.29,7.33,2.37,-0.44,0.31,2.37,-0.44,0.31
789,1664298031451,29.74,886.77,145.49,146.34,0.0,0.0,0.13,-0.42,7.03,7.04,-3.0,-0.88,1.56,-3.0,-0.88,1.56
790,1664298031724,29.74,886.73,145.87,146.34,0.0,0.0,0.59,0.0,8.61,8.63,0.0,3.75,-2.12,0.0,3.75,-2.12
791,1664298031994,29.74,886.74,145.77,146.34,0.0,0.0,1.85,1.45,9.58,9.86,4.31,-0.56,0.69,-3.0,0.44,-0.37
792,1664298032276,29.74,886.71,146.06,146.34,0.0,0.0,0.92,0.74,8.79,8.87,0.69,0.13,-0.37,0.69,0.13,-0.37
793,1664298032552,29.74,886.72,145.96,146.34,0.0,0.0,2.64,0.31,12.33,12.61,1.87,-3.37,-1.87,-4.5,2.06,4.31
794,1664298032830,29.74,886.71,146.06,146.34,0.0,0.0,1.33,-0.51,7.06,7.2,-2.19,-0.31,1.06,-2.19,-0.31,1.06
795,1664298033101,29.74,886.71,146.06,146.34,0.0,0.0,2.85,-0.24,9.97,10.37,-1.81,2.87,2.06,-1.81,2.87,2.06
796,1664298033376,29.74,886.74,145.77,146.34,0.0,0.0,-0.73,1.18,8.4,8.51,-2.19,2.06,2.37,-2.19,2.06,2.37
797,1664298033679,29.74,886.72,145.96,146.34,0.0,0.0,0.46,0.52,11.49,11.51,-3.44,-2.87,-1.44,-3.44,-2.87,-1.44
798,1664298033954,29.73,886.76,145.58,146.34,0.0,0.0,1.05,-0.07,10.69,10.74,3.06,-2.56,-1.0,-1.94,1.81,1.19
799,1664298034226,29.73,886.75,145.68,146.34,0.0,0.0,2.72,-0.4,8.93,9.34,-1.75,1.19,2.25,-1.75,1.19,2.25
800,1664298034495,29.73,886.74,145.77,146.34,0.0,0.0,0.32,0.32,6.68,6.7,0.06,2.12,-2.5,0.06,2.12,-2.5
801,1664298034797,29.73,886.72,145.96,146.34,0.0,0.0,-0.2,0.38,8.1,8.11,-1.19,0.88,1.19,-1.19,0.88,1.19
802,1664298035082,29.72,886.74,145.77,146.34,0.0,0.0,2.65,0.25,9.03,9.41,-1.19,-0.81,-1.12,-1.19,-0.81,-1.12
803,1664298035360,29.72,886.73,145.87,146.34,0.0,0.0,0.1,0.51,9.81,9.82,2.87,-0.5,-2.25,2.87,-0.5,-2.25
804,1664298035621,29.72,886.73,145.87,146.34,0.0,0.0,1.33,0.77,9.79,9.91,2.06,1.81,0.88,2.06,1.81,0.88
805,1664298035898,29.72,886.77,145.49,146.34,0.0,0.0,1.92,1.43,11.92,12.16,4.12,-1.5,-3.81,4.12,-1.5,-3.81
806,1664298036181,29.71,886.73,145.87,146.34,0.0,0.0,2.14,0.6,9.92,10.17,0.69,0.0,-2.25,0.69,0.0,-2.25
807,1664298036459,29.71,886.74,145.77,146.34,0.0,0.0,-0.52,0.56,8.33,8.36,-1.25,1.25,-0.19,-1.44,-0.25,0.06
808,1664298036727,29.71,886.74,145.77,146.34,0.0,0.0,2.19,0.15,10.76,10.98,2.37,1.19,0.19,2.37,1.19,0.19
809,1664298036999,29.71,886.75,145.68,146.34,0.0,0.0,1.08,-1.3,6.83,7.04,1.25,1.12,-0.75,1.25,1.12,-0.75
810,1664298037276,29.71,886.72,145.96,146.34,0.0,0.0,1.33,0.49,9.87,9.97,1.81,-1.19,-1.44,1.81,-1.19,-1.44
811,1664298037558,29.71,886.73,145.87,146.34,0.0,0.0,0.22,0.54,7.69,7.71,0.31,0.06,-0.19,0.31,0.06,-0.19
812,1664298037837,29.71,886.73,145.87,146.34,0.0,0.0,1.77,-0.47,10.82,10.97,-0.44,0.88,-1.25,-0.44,0.88,-1.25
813,1664298038111,29.71,886.76,145.58,146.34,0.0,0.0,-0.11,-0.56,8.35,8.37,-0.44,1.87,1.75,-0.44,1.87,1.75
814,1664298038399,29.71,886.72,145.96,146.34,0.0,0.0,2.63,-0.87,8.96,9.38,-0.94,1.69,-1.62,-0.94,1.69,-1.62
815,1664298038678,29.71,886.73,145.87,146.34,0.0,0.0,1.65,0.9,10.5,10.67,2.69,-3.94,0.31,2.69,-3.94,0.31
816,1664298038967,29.71,886.74,145.77,146.34,0.0,0.0,0.22,-0.02,6.56,6.56,-0.56,-2.69,-0.5,-0.56,-2.69,-0.5
817,1664298039242,29.71,886.76,145.58,146.34,0.0,0.0,2.54,0.78,12.38,12.66,-1.81,1.87,-0.5,0.75,3.06,-0.06
818,1664298039535,29.71,886.75,145.68,146.34,0.0,0.0,0.69,1.02,10.42,10.49,-0.06,1.69,-1.56,-0.06,1.69,-1.56
819,1664298039813,29.7,886.75,145.68,146.34,0.0,0.0,0.47,-1.16,7.2,7.31,2.69,-2.94,-1.37,-3.25,3.25,0.94
820,1664298040099,29.7,886.75,145.68,146.34,0.0,0.0,1.9,0.78,11.66,11.84,-1.56,-0.69,0.5,-1.56,-0.69,0.5
821,1664298040376,29.69,886.75,145.68,146.34,0.0,0.0,-0.56,0.22,8.17,8.19,-1.44,-0.31,0.81,-1.44,-0.31,0.81
822,1664298040652,29.69,886.76,145.58,146.34,0.0,0.0,1.71,-0.76,10.13,10.3,0.81,0.56,-2.06,-1.12,1.06,1.94
823,1664298040923,29.69,886.74,145.77,146.34,0.0,0.0,-0.24,0.91,8.4,8.45,2.62,1.62,-1.12,2.62,1.62,-1.12
824,1664298041194,29.69,886.75,145.68,146.34,0.0,0.0,1.48,0.46,8.18,8.33,-0.19,0.75,0.44,-0.19,0.75,0.44
825,1664298041482,29.69,886.76,145.58,146.34,0.0,0.0,2.65,0.01,8.47,8.87,-0.44,0.37,-2.81,-0.44,0.37,-2.81
826,1664298041762,29.69,886.73,145.87,146.34,0.0,0.0,1.61,1.84,11.81,12.06,5.0,-0.88,1.62,5.0,-0.88,1.62
827,1664298042035,29.68,886.74,145.77,146.34,0.0,0.0,-0.3,0.01,6.4,6.41,3.94,-2.69,-0.81,3.94,-2.69,-0.81
828,1664298042313,29.68,886.73,145.87,146.34,0.0,0.0,1.99,0.1,5.95,6.27,-1.12,2.69,-1.31,0.37,-1.44,-0.19
829,1664298042584,29.68,886.73,145.87,146.34,0.0,0.0,1.22,-0.52,8.51,8.61,-1.25,0.75,1.0,-1.25,0.75,1.0
830,1664298042884,29.68,886.75,145.68,146.34,0.0,0.0,-0.1,1.18,7.58,7.67,-1.12,1.19,-2.81,-1.12,1.19,-2.81
831,1664298043156,29.67,886.76,145.58,146.34,0.0,0.0,-0.67,0.49,7.36,7.41,0.56,0.62,2.37,0.56,0.62,2.37
832,1664298043423,29.68,886.75,145.68,146.34,0.0,0.0,0.38,-0.09,8.97,8.98,-1.19,2.37,0.0,-1.19,2.37,0.0
833,1664298043702,29.68,886.74,145.77,146.34,0.0,0.0,2.5,0.85,11.05,11.36,1.37,-3.19,1.19,1.37,-3.19,1.19
834,1664298044003,29.68,886.76,145.58,146.34,0.0,0.0,-0.14,1.24,8.78,8.87,1.69,-0.37,-1.25,2.56,-1.81,0.81
835,1664298044283,29.68,886.71,146.06,146.34,0.0,0.0,3.7,-0.16,11.92,12.48,2.81,-1.5,-1.75,2.81,-1.5,-1.75
836,1664298044561,29.68,886.73,145.87,146.34,0.0,0.0,1.8,0.98,6.49,6.81,1.31,-4.62,-2.0,1.31,-4.62,-2.0
837,1664298044829,29.67,886.73,145.87,146.34,0.0,0.0,-0.22,0.23,7.94,7.95,0.94,2.44,1.75,0.94,2.44,1.75
838,1664298045110,29.67,886.76,145.58,146.34,0.0,0.0,1.41,0.62,10.27,10.38,-0.94,-2.06,-3.62,1.0,0.62,3.25
839,1664298045395,29.67,886.72,145.96,146.34,0.0,0.0,1.32,-0.74,7.62,7.77,-2.81,0.31,-1.19,-2.81,0.31,-1.19
840,1664298045674,29.67,886.73,145.87,146.34,0.0,0.0,1.8,0.6,11.51,11.67,3.56,-1.5,-0.19,3.56,-1.5,-0.19
841,1664298045949,29.67,886.75,145.68,146.34,0.0,0.0,1.72,0.32,10.24,10.39,0.44,0.62,-0.37,-0.19,-0.88,0.13
842,1664298046222,29.67,886.76,145.58,146.34,0.0,0.0,0.83,0.27,9.42,9.46,0.06,-0.44,0.37,0.06,-0.44,0.37
843,1664298046501,29.67,886.76,145.58,146.34,0.0,0.0,1.36,-0.64,11.32,11.42,0.69,3.19,-0.13,2.62,-0.62,1.25
844,1664298046781,29.67,886.74,145.77,146.34,0.0,0.0,1.22,0.7,7.97,8.09,-0.19,1.62,1.56,-0.19,1.62,1.56
845,1664298047051,29.67,886.74,145.77,146.34,0.0,0.0,1.63,-0.57,9.64,9.79,-2.0,0.19,3.25,-2.0,0.19,3.25
846,1664298047339,29.67,886.73,145.87,146.34,0.0,0.0,2.83,-1.01,10.89,11.3,4.06,-0.88,-3.06,4.06,-0.88,-3.06
847,1664298047615,29.66,886.74,145.77,146.34,0.0,0.0,2.45,1.58,11.89,12.24,2.81,-2.5,0.44,2.81,-2.5,0.44
848,1664298047890,29.66,886.73,145.87,146.34,0.0,0.0,3.43,-0.14,10.02,10.59,-1.0,3.75,1.81,-1.0,3.75,1.81
849,1664298048168,29.66,886.74,145.77,146.34,0.0,0.0,3.45,-0.38,8.74,9.4,-0.44,1.31,0.94,-0.44,1.31,0.94
850,1664298048437,29.66,886.77,145.49,146.34,0.0,0.0,0.53,0.29,9.99,10.01,0.0,0.56,1.81,0.0,0.56,1.81
851,1664298048729,29.66,886.74,145.77,146.34,0.0,0.0,2.44,0.02,9.74,10.04,1.44,-3.44,-2.44,1.44,-3.44,-2.44
852,1664298049008,29.66,886.77,145.49,146.34,0.0,0.0,1.38,-0.41,8.72,8.84,-0.94,-1.75,-1.19,-0.94,-1.75,-1.19
853,1664298049328,29.65,886.75,145.68,146.34,0.0,0.0,1.95,0.15,11.68,11.84,-1.44,0.19,0.94,-1.44,0.19,0.94
854,1664298049602,29.65,886.76,145.58,146.34,0.0,0.0,1.08,-0.59,10.61,10.68,1.81,2.94,-0.56,1.5,3.94,-0.06
855,1664298049879,29.65,886.77,145.49,146.34,0.0,0.0,2.36,1.28,9.12,9.51,0.69,-0.62,-2.5,0.69,-0.62,-2.5
856,1664298050152,29.65,886.77,145.49,146.34,0.0,0.0,1.61,-0.59,5.85,6.1,-5.19,0.56,0.13,0.69,-1.94,-0.81
857,1664298050429,29.65,886.77,145.49,146.34,0.0,0.0,0.05,-0.35,7.59,7.6,-3.62,-0.25,1.12,-3.62,-0.25,1.12
858,1664298050714,29.65,886.76,145.58,146.34,0.0,0.0,1.0,0.85,10.14,10.22,2.56,-2.44,-2.31,2.56,-2.44,-2.31
859,1664298050987,29.65,886.77,145.49,146.34,0.0,0.0,0.97,-0.54,8.49,8.56,-1.81,1.06,2.44,-1.81,1.06,2.44
860,1664298051263,29.65,886.73,145.87,146.34,0.0,0.0,0.85,-0.14,10.38,10.42,1.0,-1.5,1.0,1.0,-1.5,1.0
861,1664298051531,29.65,886.77,145.49,146.34,0.0,0.0,1.67,0.84,8.7,8.9,-1.31,0.88,0.25,-1.31,0.88,0.25
862,1664298051803,29.65,886.77,145.49,146.34,0.0,0.0,2.55,-1.04,6.06,6.66,4.19,-0.06,0.56,4.19,-0.06,0.56
863,1664298052101,29.65,886.79,145.3,146.34,0.0,0.0,-0.07,0.84,6.29,6.35,0.44,-2.37,-1.0,0.44,-2.37,-1.0
864,1664298052381,29.64,886.79,145.3,146.34,0.0,0.0,-0.71,0.42,6.99,7.04,2.37,-1.0,-4.19,2.37,-1.0,-4.19
865,1664298052651,29.65,886.78,145.39,146.34,0.0,0.0,1.32,-0.61,7.83,7.96,-2.37,1.19,-0.81,-2.37,1.19,-0.81
866,1664298052931,29.64,886.77,145.49,146.34,0.0,0.0,2.42,-0.72,9.25,9.59,-2.25,-1.12,0.88,-2.25,-1.12,0.88
867,1664298053215,29.64,886.81,145.11,146.34,0.0,0.0,1.36,-0.29,8.61,8.72,0.5,0.13,0.37,3.94,0.75,-0.75
868,1664298053512,29.64,886.79,145.3,146.34,0.0,0.0,1.73,-0.18,9.62,9.78,-0.69,1.12,-0.44,-0.69,1.12,-0.44
869,1664298053787,29.64,886.86,144.64,146.34,0.0,0.0,2.06,-0.23,8.97,9.21,0.19,-0.62,-1.56,-0.5,-0.25,1.31
870,1664298054061,29.64,886.85,144.73,146.34,0.0,0.0,1.12,-0.96,8.82,8.94,-1.87,0.13,-0.88,-1.87,0.13,-0.88
871,1664298054334,29.63,886.85,144.73,146.34,0.0,0.0,0.83,0.56,7.49,7.56,-5.31,2.75,2.06,4.56,-1.62,-2.25
872,1664298054622,29.63,886.89,144.35,146.34,0.0,0.0,2.14,-0.6,10.13,10.37,-0.37,0.13,-2.69,-0.37,0.13,-2.69
873,1664298054893,29.63,886.9,144.26,146.34,0.0,0.0,0.92,0.94,10.43,10.51,1.31,0.13,1.44,1.31,0.13,1.44
874,1664298055171,29.63,886.89,144.35,146.34,0.0,0.0,0.94,0.15,10.01,10.06,0.37,-0.94,0.62,0.37,-0.94,0.62
875,1664298055445,29.63,886.87,144.54,146.34,0.0,0.0,1.46,0.77,7.0,7.19,-0.25,-0.62,0.69,-0.25,-0.62,0.69
876,1664298055716,29.63,886.9,144.26,146.34,0.0,0.0,1.84,-0.7,8.09,8.33,0.44,0.5,0.06,1.94,-2.12,-0.37
877,1664298056005,29.63,886.93,143.97,146.34,0.0,0.0,0.62,0.67,11.21,11.25,-3.06,-1.12,0.5,-3.06,-1.12,0.5
878,1664298056281,29.63,886.93,143.97,146.34,0.0,0.0,3.09,-0.02,9.96,10.43,0.62,-1.56,-4.06,-1.12,3.06,3.94
879,1664298056567,29.63,886.96,143.69,146.34,0.0,0.0,0.6,0.62,8.94,8.98,-3.19,-1.25,-1.44,-3.19,-1.25,-1.44
880,1664298056846,29.63,886.95,143.78,146.34,0.0,0.0,2.72,0.08,10.22,10.58,-1.31,1.62,2.87,1.62,-3.94,-2.44
881,1664298057127,29.64,886.96,143.69,146.34,0.0,0.0,1.58,1.13,9.63,9.82,1.44,1.06,3.62,1.44,1.06,3.62
882,1664298057401,29.63,886.96,143.69,146.34,0.0,0.0,1.57,-1.0,8.89,9.08,-1.12,-2.94,0.88,-1.12,-2.94,0.88
883,1664298057670,29.63,886.96,143.69,146.34,0.0,0.0,0.28,0.69,10.77,10.8,3.87,3.62,2.44,3.87,3.62,2.44
884,1664298057963,29.63,886.97,143.59,146.34,0.0,0.0,2.37,-1.21,8.78,9.17,-0.44,0.5,-3.37,-0.44,0.5,-3.37
885,1664298058236,29.62,887.01,143.21,146.34,0.0,0.0,0.9,0.56,8.58,8.65,2.87,2.12,-0.5,2.87,2.12,-0.5
886,1664298058522,29.63,887.02,143.12,146.34,0.0,0.0,1.33,0.45,10.21,10.31,0.25,-1.25,2.62,0.25,-1.25,2.62
887,1664298058797,29.62,887.01,143.21,146.34,0.0,0.0,1.57,0.86,10.3,10.45,-0.88,2.75,0.44,-0.88,2.75,0.44
888,1664298059078,29.63,887.03,143.02,146.34,0.0,0.0,-0.21,0.51,7.24,7.26,-3.94,2.37,3.56,-1.75,-1.94,-2.25
889,1664298059350,29.62,887.04,142.93,146.34,0.0,0.0,0.73,1.29,10.17,10.28,-1.75,0.31,1.0,-1.75,0.31,1.0
890,1664298059627,29.62,887.02,143.12,146.34,0.0,0.0,2.34,0.0,9.01,9.31,6.37,-3.94,-1.0,6.37,-3.94,-1.0
891,1664298059915,29.62,887.02,143.12,146.34,0.0,0.0,2.36,-0.76,10.04,10.34,0.13,-1.87,1.5,0.13,-1.87,1.5
892,1664298060186,29.62,887.07,142.64,146.34,0.0,0.0,1.84,-0.18,9.39,9.57,0.31,0.69,2.56,0.31,0.69,2.56
893,1664298060467,29.62,887.1,142.36,146.34,0.0,0.0,3.69,-0.13,10.48,11.11,1.81,-1.69,-1.69,1.81,-1.69,-1.69
894,1664298060745,29.62,887.09,142.46,146.34,0.0,0.0,0.72,0.37,9.87,9.9,-0.44,0.81,-1.75,-0.44,0.81,-1.75
895,1664298061048,29.62,887.08,142.55,146.34,0.0,0.0,1.27,-0.1,10.15,10.23,-0.81,1.56,0.81,-2.06,-1.5,-0.62
896,1664298061318,29.62,887.1,142.36,146.34,0.0,0.0,1.87,-0.77,9.35,9.57,-3.62,1.56,-1.81,-3.62,1.56,-1.81
897,1664298061596,29.62,887.11,142.27,146.34,0.0,0.0,3.22,-0.14,12.11,12.53,1.37,-5.0,0.44,-3.12,0.44,1.56
898,1664298061879,29.62,887.13,142.08,146.34,0.0,0.0,-0.22,-0.57,8.14,8.16,6.81,-0.62,-1.81,6.81,-0.62,-1.81
899,1664298062150,29.62,887.11,142.27,146.34,0.0,0.0,2.27,0.83,10.87,11.14,1.25,1.5,-0.81,1.25,1.5,-0.81
900,1664298062446,29.61,887.1,142.36,146.34,0.0,0.0,2.73,-0.02,9.15,9.55,-0.56,3.25,-1.0,-0.25,-1.31,0.56
901,1664298062735,29.61,887.14,141.98,146.34,0.0,0.0,1.54,0.13,10.16,10.28,-1.5,0.06,0.62,-1.5,0.06,0.62
902,1664298063011,29.61,887.14,141.98,146.34,0.0,0.0,0.12,0.5,6.63,6.65,-1.37,-2.31,-2.5,-4.5,-4.5,3.19
903,1664298063280,29.61,887.15,141.89,146.34,0.0,0.0,2.53,0.45,9.28,9.63,0.56,1.44,-0.56,0.56,1.44,-0.56
904,1664298063563,29.61,887.12,142.17,146.34,0.0,0.0,0.29,0.46,7.57,7.59,-1.37,2.56,1.56,-1.37,2.56,1.56
905,1664298063843,29.61,887.18,141.6,146.34,0.0,0.0,1.12,-0.26,8.04,8.12,-2.31,2.5,1.06,2.06,0.94,-1.87
906,1664298064116,29.61,887.12,142.17,146.34,0.0,0.0,1.48,-0.18,11.54,11.64,2.37,-1.25,0.19,2.37,-1.25,0.19
907,1664298064395,29.61,887.11,142.27,146.34,0.0,0.0,1.2,-1.03,7.46,7.63,-1.12,2.44,0.25,5.69,-0.56,-0.44
908,1664298064669,29.6,887.13,142.08,146.34,0.0,0.0,0.68,0.81,9.26,9.32,2.06,-1.87,-0.25,2.06,-1.87,-0.25
909,1664298064961,29.6,887.14,141.98,146.34,0.0,0.0,1.3,-0.76,7.7,7.85,-1.56,-1.31,0.0,-1.56,-1.31,0.0
910,1664298065235,29.6,887.12,142.17,146.34,0.0,0.0,-0.11,0.03,8.57,8.57,3.31,-1.5,-2.5,3.31,-1.5,-2.5
911,1664298065501,29.6,887.13,142.08,146.34,0.0,0.0,1.31,-0.04,8.2,8.3,1.19,1.0,0.0,1.19,1.0,0.0
912,1664298065794,29.6,887.13,142.08,146.34,0.0,0.0,3.11,-0.7,8.56,9.13,-1.62,2.12,1.81,-1.62,2.12,1.81
913,1664298066067,29.6,887.15,141.89,146.34,0.0,0.0,1.53,-0.37,9.49,9.62,4.0,-0.5,-1.12,4.0,-0.5,-1.12
914,1664298066350,29.6,887.15,141.89,146.34,0.0,0.0,1.05,1.14,9.45,9.58,1.25,-0.5,0.62,1.25,-0.5,0.62
915,1664298066627,29.6,887.14,141.98,146.34,0.0,0.0,1.72,-0.65,9.07,9.25,-0.25,-0.31,-2.56,-2.75,-2.81,2.25
916,1664298066899,29.6,887.16,141.79,146.34,0.0,0.0,1.19,0.65,7.44,7.56,-2.75,2.37,2.37,-2.75,2.37,2.37
917,1664298067187,29.6,887.16,141.79,146.34,0.0,0.0,0.25,-0.45,8.01,8.03,-0.25,1.31,-1.0,-0.25,1.31,-1.0
918,1664298067476,29.6,887.17,141.7,146.34,0.0,0.0,2.01,-0.38,9.74,9.95,1.5,-1.44,-0.13,1.5,-1.44,-0.13
919,1664298067756,29.59,887.2,141.41,146.34,0.0,0.0,2.9,-0.02,12.49,12.82,3.37,-1.94,-2.62,3.37,-1.94,-2.62
920,1664298068031,29.59,887.19,141.51,146.34,0.0,0.0,0.98,-0.03,7.96,8.02,-0.62,1.19,0.25,-0.62,1.19,0.25
921,1664298068311,29.59,887.19,141.51,146.34,0.0,0.0,1.61,-0.31,7.52,7.7,-3.06,3.94,3.0,0.37,0.13,-2.37
922,1664298068594,29.59,887.19,141.51,146.34,0.0,0.0,1.59,-0.26,10.75,10.87,-0.13,-4.19,-0.06,-0.13,-4.19,-0.06
923,1664298068904,29.59,887.23,141.13,146.34,0.0,0.0,1.47,1.47,7.97,8.24,-1.12,0.06,1.69,-1.12,0.06,1.69
924,1664298069181,29.59,887.24,141.03,146.34,0.0,0.0,0.07,-0.58,6.74,6.77,-2.87,1.0,1.62,1.5,0.56,-1.94
925,1664298069451,29.59,887.25,140.94,146.34,0.0,0.0,1.35,0.79,10.85,10.96,4.06,-0.06,-0.94,4.06,-0.06,-0.94
926,1664298069731,29.59,887.27,140.75,146.34,0.0,0.0,1.17,0.13,10.06,10.13,3.44,-1.81,-3.25,-0.62,-0.62,3.5
927,1664298070009,29.59,887.25,140.94,146.34,0.0,0.0,-0.14,-0.54,7.72,7.74,-2.31,2.94,0.44,-2.31,2.94,0.44
928,1664298070303,29.59,887.25,140.94,146.34,0.0,0.0,1.96,-0.59,9.71,9.92,2.19,2.0,1.25,2.19,2.0,1.25
929,1664298070577,29.58,887.31,140.37,146.34,0.0,0.0,-0.39,0.47,7.55,7.57,0.19,-0.62,-2.06,0.19,-0.62,-2.06
930,1664298070853,29.59,887.29,140.56,146.34,0.0,0.0,2.46,-0.8,10.16,10.48,1.0,-1.12,-3.0,-2.94,0.25,3.75
931,1664298071129,29.58,887.28,140.65,146.34,0.0,0.0,0.39,1.26,8.81,8.91,0.62,-2.69,-1.25,0.62,-2.69,-1.25
932,1664298071417,29.58,887.27,140.75,146.34,0.0,0.0,-0.47,1.21,7.47,7.58,1.31,-2.75,-4.44,1.31,-2.75,-4.44
933,1664298071695,29.58,887.31,140.37,146.34,0.0,0.0,0.72,-0.65,8.39,8.45,0.94,2.0,0.62,2.87,-1.44,-0.75
934,1664298071994,29.58,887.31,140.37,146.34,0.0,0.0,-0.52,0.26,6.19,6.22,-1.62,-0.44,-0.37,-1.62,-0.44,-0.37
935,1664298072398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,1664298072834,29.58,887.38,139.71,146.34,0.0,0.0,1.96,-0.6,8.49,8.73,1.44,-1.25,-0.37,1.44,-1.25,-0.37
937,1664298073110,29.58,887.38,139.71,146.34,0.0,0.0,3.02,0.89,12.24,12.64,1.06,-0.88,2.06,1.06,-0.88,2.06
