{36,19,50,19,30.82,901.81,0.26,0.64,1.69,0,0,2.00,-0.61,9.53,9.76,0.13,-0.13,-0.06,0.13,-0.13,-0.06}
{37,19,51,19,30.83,901.81,0.26,0.64,1.66,0,0,2.01,-0.59,9.55,9.78,0.00,0.19,-0.13,-0.13,0.13,-0.06}
{38,19,46,19,30.83,901.80,0.36,0.64,1.66,0,0,1.96,-0.59,9.54,9.76,-0.06,0.00,-0.06,-0.06,0.00,-0.06}
{39,19,52,19,30.83,901.80,0.36,0.64,1.69,0,0,1.99,-0.61,9.58,9.80,0.00,-0.13,-0.06,0.00,-0.13,-0.06}
{40,19,51,19,30.83,901.81,0.26,0.64,1.69,0,0,1.98,-0.57,9.54,9.76,-0.06,-0.06,0.00,-0.06,-0.06,0.00}
{41,19,51,20,30.83,901.79,0.45,0.64,1.72,0,0,2.01,-0.59,9.54,9.77,-0.13,-0.13,-0.06,-0.13,-0.13,-0.06}
{42,20,50,20,30.83,901.79,0.45,0.64,1.75,0,0,2.01,-0.60,9.56,9.79,-0.13,0.00,0.06,-0.13,0.00,0.06}
{43,20,58,20,30.83,901.79,0.45,0.64,1.81,0,0,1.99,-0.59,9.52,9.74,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06}
{44,20,51,20,30.83,901.80,0.36,0.64,1.78,0,0,1.99,-0.58,9.54,9.76,0.00,0.06,-0.06,0.00,0.06,-0.06}
{45,20,51,20,30.84,901.78,0.54,0.64,1.81,0,0,1.99,-0.58,9.55,9.77,-0.13,-0.06,0.00,-0.13,-0.06,0.00}
{46,20,50,20,30.84,901.80,0.36,0.64,1.78,0,0,1.96,-0.58,9.53,9.75,0.06,0.00,-0.06,0.06,0.00,-0.06}
{47,20,51,20,30.84,901.83,0.07,0.64,1.69,0,0,1.96,-0.59,9.55,9.77,0.00,0.06,0.25,0.00,0.06,0.25}
{48,20,58,20,30.84,901.79,0.45,0.64,1.66,0,0,2.01,-0.60,9.55,9.78,0.13,0.06,0.00,0.13,0.06,0.00}
{49,20,51,20,30.84,901.80,0.36,0.64,1.66,0,0,2.00,-0.60,9.54,9.77,0.00,0.06,0.00,0.00,0.06,0.00}
{50,20,51,20,30.84,901.76,0.73,0.73,1.78,0,0,1.99,-0.58,9.55,9.77,0.00,-0.06,-0.13,0.00,-0.06,-0.13}
{51,20,50,20,30.82,901.81,0.26,0.73,1.72,0,0,1.99,-0.58,9.55,9.77,-0.06,0.00,0.06,-0.06,0.00,0.06}
{52,20,80,20,30.82,901.83,0.07,0.73,1.63,0,0,2.00,-0.57,9.53,9.75,0.06,-0.06,-0.06,0.06,-0.06,-0.06}
{53,20,58,20,30.82,901.79,0.45,0.73,1.53,0,0,1.98,-0.57,9.54,9.76,-0.06,-0.13,0.19,-0.06,-0.13,0.19}
