{37,26,215,2629.50,902.33,0.39,0.86,1.72,0,0,1.97,0.07,9.61,9.81,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06}
{38,26,221,2629.50,902.31,0.58,0.86,1.69,0,0,1.96,0.09,9.58,9.78,0.06,0.25,-0.13,-0.06,0.06,0.06}
{39,26,224,2629.50,902.32,0.49,0.86,1.63,0,0,1.97,0.09,9.55,9.75,0.06,-0.13,0.06,0.00,0.00,0.13}
{40,26,220,2729.51,902.32,0.49,0.86,1.66,0,0,1.95,0.08,9.58,9.78,0.00,0.06,0.13,0.00,0.06,0.13}
{41,27,215,2729.50,902.30,0.67,0.86,1.69,0,0,1.95,0.07,9.60,9.80,-0.13,0.19,-0.13,-0.13,0.19,-0.13}
{42,27,213,2729.50,902.31,0.58,0.86,1.72,0,0,1.95,0.07,9.58,9.78,0.06,0.06,-0.06,0.06,0.13,-0.06}
{43,27,244,2729.50,902.30,0.67,0.86,1.78,0,0,1.96,0.07,9.56,9.76,-0.13,-0.06,0.06,0.00,0.00,0.00}
{44,27,219,2829.50,902.33,0.39,0.86,1.69,0,0,1.98,0.09,9.55,9.75,-0.06,0.00,0.00,0.00,-0.06,-0.06}
{45,28,221,2829.50,902.34,0.30,0.86,1.59,0,0,1.94,0.11,9.58,9.78,-0.06,-0.13,0.13,-0.06,-0.13,0.00}
{46,28,220,2829.50,902.30,0.67,0.86,1.59,0,0,1.95,0.08,9.55,9.75,0.00,0.00,-0.06,0.06,0.06,0.00}
{47,28,220,2829.50,902.33,0.39,0.86,1.59,0,0,1.96,0.07,9.57,9.77,0.06,-0.06,0.06,0.06,-0.06,0.06}
{48,28,223,2829.50,902.31,0.58,0.86,1.69,0,0,1.96,0.08,9.56,9.76,0.00,0.06,-0.13,0.06,-0.06,0.00}
{49,28,219,2929.50,902.33,0.39,0.86,1.59,0,0,1.97,0.08,9.56,9.76,0.00,0.19,-0.13,-0.19,0.13,-0.06}
{50,29,220,2929.50,902.33,0.39,0.86,1.59,0,0,1.97,0.08,9.57,9.77,-0.13,-0.19,0.06,-0.13,-0.19,0.06}
{51,29,232,2929.49,902.31,0.58,0.86,1.59,0,0,1.98,0.08,9.56,9.76,0.13,0.00,-0.06,-0.06,0.13,0.00}
{52,29,219,2929.49,902.32,0.49,0.86,1.63,0,0,1.95,0.07,9.57,9.77,0.06,0.00,-0.06,0.06,0.00,-0.06}
{53,29,227,3029.49,902.32,0.49,0.86,1.66,0,0,1.97,0.08,9.56,9.76,0.13,-0.13,0.06,0.13,-0.13,0.06}
{54,30,221,3029.49,902.30,0.67,0.86,1.69,0,0,1.94,0.08,9.58,9.77,0.00,0.00,-0.06,-0.06,-0.13,0.00}
{55,30,222,3029.49,902.29,0.77,0.86,1.78,0,0,1.96,0.10,9.55,9.75,0.00,0.13,0.00,-0.06,0.06,0.06}
{56,30,220,3029.49,902.31,0.58,0.86,1.81,0,0,1.97,0.08,9.61,9.81,0.06,-0.06,0.00,0.06,-0.06,0.00}
{57,30,215,3029.49,902.32,0.49,0.86,1.75,0,0,1.98,0.08,9.56,9.76,-0.06,-0.06,-0.19,0.06,-0.06,-0.06}
{58,30,226,3129.49,902.31,0.58,0.86,1.69,0,0,1.95,0.09,9.56,9.76,0.00,-0.19,0.00,0.00,-0.19,0.00}
{59,31,242,3129.49,902.32,0.49,0.86,1.66,0,0,1.97,0.06,9.54,9.74,0.00,0.00,0.13,0.06,-0.13,0.00}
{60,31,219,3129.49,902.29,0.77,0.86,1.75,0,0,1.97,0.06,9.58,9.78,0.00,-0.19,0.06,0.00,-0.19,0.06}
{61,31,215,3129.49,902.29,0.77,0.86,1.81,0,0,1.97,0.08,9.57,9.77,-0.06,0.06,0.00,-0.06,0.06,0.00}
{62,31,218,3229.48,902.32,0.49,0.86,1.81,0,0,1.96,0.10,9.56,9.76,0.00,0.00,0.06,-0.06,0.13,0.06}
{63,32,219,3229.49,902.33,0.39,0.86,1.69,0,0,1.98,0.10,9.56,9.76,0.00,0.00,0.00,0.00,0.00,0.00}
{64,32,222,3229.49,902.32,0.49,0.86,1.60,0,0,1.96,0.06,9.59,9.79,-0.06,0.13,-0.06,-0.06,0.13,-0.06}
{65,32,213,3229.49,902.32,0.49,0.86,1.60,0,0,1.97,0.08,9.57,9.77,0.00,-0.06,0.00,0.00,-0.06,0.00}
{66,32,219,3229.48,902.31,0.58,0.86,1.66,0,0,1.96,0.08,9.57,9.77,0.00,0.00,-0.06,0.00,0.00,-0.06}
{67,32,218,3329.48,902.31,0.58,0.86,1.69,0,0,1.95,0.06,9.56,9.76,0.13,0.00,0.00,0.13,0.00,0.00}
{68,33,231,3329.48,902.33,0.39,0.86,1.66,0,0,1.97,0.09,9.60,9.80,-0.06,0.06,-0.06,-0.06,0.06,-0.06}
{69,33,221,3329.48,902.32,0.49,0.86,1.63,0,0,1.95,0.10,9.56,9.76,-0.06,0.06,0.06,-0.06,-0.06,-0.06}
{70,33,218,3329.48,902.28,0.86,0.86,1.72,0,0,1.95,0.07,9.57,9.77,-0.06,0.00,0.00,0.00,0.00,0.06}
{71,33,220,3429.48,902.31,0.58,0.86,1.78,0,0,1.99,0.11,9.55,9.76,0.00,0.00,0.00,0.00,0.00,0.00}
{72,34,215,3429.49,902.30,0.67,0.86,1.84,0,0,1.97,0.09,9.58,9.78,0.06,0.00,0.00,-0.06,0.06,-0.06}
{73,34,214,3429.48,902.31,0.58,0.86,1.75,0,0,1.95,0.06,9.55,9.75,0.00,-0.13,0.06,0.00,-0.13,0.06}
{74,34,258,3429.48,902.30,0.67,0.86,1.78,0,0,1.96,0.08,9.57,9.77,0.00,0.19,0.00,0.00,0.19,0.00}
{75,34,220,3429.48,902.30,0.67,0.86,1.78,0,0,1.96,0.08,9.56,9.76,0.00,0.00,0.00,0.00,0.00,0.00}
{76,34,231,3529.49,902.33,0.39,0.86,1.72,0,0,1.96,0.07,9.56,9.76,0.06,0.06,-0.06,0.06,0.06,-0.06}
{77,35,216,3529.48,902.32,0.49,0.86,1.66,0,0,1.97,0.07,9.56,9.76,0.00,0.00,0.00,0.00,0.00,0.00}
{78,35,219,3529.48,902.32,0.49,0.86,1.60,0,0,1.96,0.07,9.54,9.74,-0.06,0.00,0.13,-0.06,0.00,0.13}
