38;27;263;28;27,28;902,48;0,38;0,66;1,88;0;0;-1,17;7,59;1,48;7,82;-62,56;-23,87;33,75;-62,56;-23,87;33,75
39;28;263;28;27,28;902,48;0,38;0,66;1,78;0;0;-1,16;7,39;-1,16;7,57;29,87;-75,5;-59,69;29,87;-75,5;-59,69
40;28;281;28;27,28;902,47;0,48;0,66;1,75;0;0;-0,92;9,95;0,19;9,99;26,87;-86,5;36;25,5;-89,19;35,38
41;28;269;29;27,28;902,47;0,48;0,66;1,78;0;0;-1,88;7,72;-2,03;8,2;-1,75;-31,5;12,13;-1,75;-31,5;12,13
42;29;262;29;27,28;902,49;0,29;0,66;1,75;0;0;-3,16;11,76;-0,98;12,22;12,63;-5,25;-6,69;12,63;-5,25;-6,69
43;29;262;29;27,28;902,47;0,48;0,66;1,75;0;0;-1,58;5,93;0,95;6,21;17,31;-2,31;1,81;13,5;-1,56;0,5
44;29;275;29;27,28;902,49;0,29;0,66;1,69;0;0;-3,04;10,51;-0,91;10,98;-12,94;-3,62;-12,63;-12,94;-3,62;-12,63
45;29;259;30;27,27;902,47;0,48;0,66;1,75;0;0;-1,58;6,54;-0,63;6,76;29,75;3,81;0,19;25,31;3,62;0,94
46;30;282;30;27,27;902,49;0,29;0,66;1,69;0;0;-3,48;9,21;-0,11;9,85;1,44;-4,81;4,12;1,44;-4,81;4,12
47;30;259;30;27,27;902,46;0,57;0,66;1,78;0;0;-2,54;6,22;-0,09;6,72;10,94;35,81;-5,5;10,94;35,81;-5,5
48;30;260;30;27,27;902,48;0,38;0,66;1,75;0;0;-3,24;8,93;1,17;9,57;-19,62;10,88;-2,56;-21,81;17,31;-8,63
49;30;273;31;27,28;902,48;0,38;0,66;1,78;0;0;-1,5;8,07;0,56;8,23;6,12;15,44;-18,25;6,12;15,44;-18,25
50;31;264;31;27,27;902,46;0,57;0,66;1,78;0;0;-2,48;7,64;0,08;8,03;6,44;-7,94;17,75;0,94;-5,06;17
51;31;271;31;27,28;902,51;0,1;0,66;1,69;0;0;-1,49;9,61;0,28;9,73;36,19;3,87;26,81;36,19;3,87;26,81
52;31;256;31;27,28;902,46;0,57;0,66;1,75;0;0;-2,24;6,9;0,16;7,26;-8,38;21,19;-0,56;-8,38;21,19;-0,56
53;31;257;32;27,27;902,47;0,48;0,66;1,72;0;0;-2,36;9,44;0,07;9,73;14,75;-18,87;-2,56;14,75;-18,87;-2,56
54;32;271;32;27,28;902,48;0,38;0,66;1,81;0;0;-2,27;6,36;-0,55;6,78;0,44;-16,62;-4,69;0,44;-16,62;-4,69
55;32;262;32;27,28;902,48;0,38;0,66;1,75;0;0;-3,55;9,88;-0,37;10,5;-5,31;33,75;-2,5;-5,31;33,75;-2,5
56;32;261;32;27,28;902,48;0,38;0,66;1,72;0;0;-1,81;6,53;0,28;6,78;5,5;34,75;-7,69;10,81;34,06;-8,56
57;32;262;33;27,28;902,48;0,38;0,66;1,72;0;0;-3,68;9,56;-0,47;10,25;-2;-21,62;-4,19;1,19;-22,37;3,06
58;33;259;33;27,27;902,47;0,48;0,66;1,75;0;0;-1,47;6,23;-0,79;6,45;15,38;-14,13;-20,5;15,38;-14,13;-20,5
59;33;276;33;27,27;902,47;0,48;0,66;1,78;0;0;-3,09;7,7;-1;8,36;3,25;17,37;-15,13;3,06;17,75;-19
60;33;266;34;27,28;902,47;0,48;0,66;1,81;0;0;-0,7;10,84;-0,11;10,86;-5,44;-23,12;-8,31;-5,44;-23,12;-8,31
61;34;264;34;27,28;902,44;0,76;0,76;1,81;0;0;-2,59;8,61;-0,06;8,99;21,62;-2,75;8,63;21,62;-2,75;8,63
62;34;269;34;27,27;902,46;0,57;0,76;1,84;0;0;-1,6;10,35;0,02;10,47;-1,69;-10,75;30,19;-1,69;-10,75;30,19
63;34;272;34;27,27;902,46;0,57;0,76;1,88;0;0;-1,87;5,9;-0,72;6,23;5,56;0,31;0,56;5,56;0,31;0,56
64;34;281;35;27,28;902,49;0,29;0,76;1,72;0;0;-2,85;9,86;-0,5;10,28;-4,62;3,75;-19,06;-4,62;3,75;-19,06
65;35;251;35;27,28;902,48;0,38;0,76;1,66;0;0;-1,39;7,33;0,15;7,46;-10,06;4,06;2,31;-10,06;4,06;2,31
66;35;262;35;27,28;902,5;0,2;0,76;1,53;0;0;-3,27;9,55;-0,55;10,11;-13,13;-4,31;-18,19;-13,13;-4,31;-18,19
67;35;270;35;27,28;902,47;0,48;0,76;1,6;0;0;-0,88;7,12;0,33;7,18;6,69;-27,44;-10,75;15,5;-23,94;-12,37
68;35;268;36;27,27;902,48;0,38;0,76;1,6;0;0;-2,59;7,88;-0,02;8,29;-12,88;6,31;-7,75;-12,88;6,31;-7,75
69;36;303;36;27,27;902,46;0,57;0,76;1,72;0;0;-1,97;7,01;0,59;7,31;13,06;2,19;8,44;13,06;2,19;8,44
70;36;262;36;27,28;902,47;0,48;0,76;1,72;0;0;-1,83;8,3;0,57;8,52;-8,69;17,12;14,81;-12,88;16,69;14,5
71;36;254;37;27,28;902,47;0,48;0,76;1,75;0;0;-1,35;11,47;0,1;11,55;-29,69;-6,81;1,75;-29,69;-6,81;1,75
72;37;263;37;27,28;902,47;0,48;0,76;1,72;0;0;-1,7;6,65;0,31;6,87;23,56;19,94;7,87;23,56;19,94;7,87
73;37;275;37;27,28;902,45;0,66;0,76;1,78;0;0;-3,71;9,52;-1,39;10,31;30,56;0,62;-33,63;30,56;0,62;-33,63
